variant,target,attribute,parameter,spearman_rho,abs_rho
deterministic,param_mean,carbonate_rocks_frac,parK0,-0.2089005111058254,0.2089005111058254
deterministic,param_mean,lai_diff,parLP,-0.20882835486541745,0.20882835486541745
deterministic,param_mean,p_mean,route_b,-0.20779122414286436,0.20779122414286436
deterministic,param_mean,carbonate_rocks_frac,parBETA,0.20729249317996407,0.20729249317996407
deterministic,param_mean,p_mean,parCFR,-0.20725125894364949,0.20725125894364949
deterministic,param_mean,carbonate_rocks_frac,parPERC,-0.20672335829914587,0.20672335829914587
deterministic,param_mean,pet_mean,parK0,-0.20635932171533256,0.20635932171533256
deterministic,param_mean,p_mean,parUZL,0.20619553360535975,0.20619553360535975
deterministic,param_mean,aridity,parLP,-0.20609334336801388,0.20609334336801388
deterministic,param_mean,glim_1st_class_frac,parUZL,-0.201369131742842,0.201369131742842
deterministic,param_mean,soil_depth_statsgo,parPERC,-0.20030340828801096,0.20030340828801096
deterministic,param_mean,geol_2nd_class,parPERC,-0.2000154604434991,0.2000154604434991
deterministic,param_mean,lai_max,parTT,0.19881555503725737,0.19881555503725737
deterministic,param_mean,high_prec_dur,parCFR,0.1984003497071044,0.1984003497071044
deterministic,param_mean,pet_mean,parCWH,0.19634527636648386,0.19634527636648386
deterministic,param_mean,dom_land_cover,parCFMAX,-0.19594245989839995,0.19594245989839995
deterministic,param_mean,carbonate_rocks_frac,parCFR,0.19592292439591394,0.19592292439591394
deterministic,param_mean,soil_porosity,parPERC,-0.19335070554044823,0.19335070554044823
deterministic,param_mean,gvf_diff,parCFR,-0.19288146814109144,0.19288146814109144
deterministic,param_mean,p_mean,parBETA,-0.19249042016618137,0.19249042016618137
deterministic,param_mean,clay_frac,parCWH,0.19040650455701347,0.19040650455701347
deterministic,param_mean,low_prec_dur,parPERC,-0.19029769819495973,0.19029769819495973
deterministic,param_mean,silt_frac,route_a,-0.18941802438255106,0.18941802438255106
deterministic,param_mean,gvf_diff,route_a,-0.187633298147832,0.187633298147832
deterministic,param_mean,frac_snow,parK0,0.18574322143597624,0.18574322143597624
