paradigm,structure,parameter,parameter_display,threshold,n,median_boundary_distance,q25_boundary_distance,q75_boundary_distance,boundary_rate,base_rate,cn_rate,cn_minus_base,ci95_low,ci95_high
IC,CN,xaj_k,k,0.02,531,0.17018321752723339,0.087019400528225793,0.28082043465928375,0.18267419962335216,,,,,
IC,CN,xaj_k,k,0.050000000000000003,531,0.17018321752723339,0.087019400528225793,0.28082043465928375,0.19585687382297551,,,,,
IC,CN,xaj_kg,kg,0.01,531,0,0,0.2273449602007476,0.52542372881355937,,,,,
IC,CN,xaj_kg,kg,0.02,531,0,0,0.2273449602007476,0.52730696798493404,,,,,
IC,CN,xaj_kg,kg,0.050000000000000003,531,0,0,0.2273449602007476,0.54802259887005644,,,,,
IC,CN,xaj_ki,ki,0.01,531,0.17025510462452675,0,0.32313576722953979,0.38418079096045199,,,,,
IC,CN,xaj_ki,ki,0.02,531,0.17025510462452675,0,0.32313576722953979,0.38606403013182672,,,,,
IC,CN,xaj_ki,ki,0.050000000000000003,531,0.17025510462452675,0,0.32313576722953979,0.40301318267419961,,,,,
IC,CN,xaj_lm,lm,0.01,531,0,0,0.28230109759954991,0.56873822975517896,,,,,
IC,CN,xaj_lm,lm,0.02,531,0,0,0.28230109759954991,0.57250470809792842,,,,,
IC,CN,xaj_lm,lm,0.050000000000000003,531,0,0,0.28230109759954991,0.58757062146892658,,,,,
IC,CN,xaj_sm,sm,0.01,531,0.19440238593049994,0.0077760630692441544,0.32493209318684046,0.25235404896421848,,,,,
IC,CN,xaj_sm,sm,0.02,531,0.19440238593049994,0.0077760630692441544,0.32493209318684046,0.25612052730696799,,,,,
IC,CN,xaj_sm,sm,0.050000000000000003,531,0.19440238593049994,0.0077760630692441544,0.32493209318684046,0.27495291902071561,,,,,
IC,CN,xaj_theta,theta (UH scale),0.01,531,0,0,0.075543076154255942,0.6271186440677966,,,,,
IC,CN,xaj_theta,theta (UH scale),0.02,531,0,0,0.075543076154255942,0.66290018832391717,,,,,
IC,CN,xaj_theta,theta (UH scale),0.050000000000000003,531,0,0,0.075543076154255942,0.71374764595103579,,,,,
IC,CN,xaj_um,um,0.01,531,0,0,0.015954190730087567,0.74576271186440679,,,,,
IC,CN,xaj_um,um,0.02,531,0,0,0.015954190730087567,0.75141242937853103,,,,,
IC,CN,xaj_um,um,0.050000000000000003,531,0,0,0.015954190730087567,0.7664783427495292,,,,,
IC,GD,xaj_a,a (UH shape),0.01,531,0,0,0.25078073248190957,0.60828625235404898,,,,,
IC,GD,xaj_a,a (UH shape),0.02,531,0,0,0.25078073248190957,0.61016949152542377,,,,,
IC,GD,xaj_a,a (UH shape),0.050000000000000003,531,0,0,0.25078073248190957,0.62146892655367236,,,,,
IC,GD,xaj_b,b,0.01,531,0.045021748806217454,0,0.18860482278014457,0.45574387947269301,,,,,
IC,GD,xaj_b,b,0.02,531,0.045021748806217454,0,0.18860482278014457,0.4632768361581921,,,,,
IC,GD,xaj_b,b,0.050000000000000003,531,0.045021748806217454,0,0.18860482278014457,0.51412429378531077,,,,,
IC,GD,xaj_c,c,0.01,531,0,0,0.057240668632708408,0.71563088512241058,,,,,
IC,GD,xaj_c,c,0.02,531,0,0,0.057240668632708408,0.72504708097928439,,,,,
IC,GD,xaj_c,c,0.050000000000000003,531,0,0,0.057240668632708408,0.74952919020715636,,,,,
