paradigm,contrast,stratum,n_basins,metric,median,ci_lower,ci_upper
dPL,Base-CN,S3,121,prop_excess_gt_0,0.92561983471074383,0.88429752066115708,0.97520661157024791
dPL,Base-CN,S4,34,within_a,0.12441879525611693,0.097148315919836123,0.15729392746364987
dPL,Base-CN,S4,34,within_b,0.12894244546714836,0.097254035973852793,0.16313005135626366
dPL,Base-CN,S4,34,within_pooled,0.13852933515807436,0.11552361413579457,0.171162178043301
dPL,Base-CN,S4,34,between_all,0.34584479972375559,0.28396398417111324,0.41682566674052024
dPL,Base-CN,S4,34,excess,0.13217237163706033,0.095918128645524639,0.26878155548829663
dPL,Base-CN,S4,34,prop_between_gt_within,0.97058823529411764,0.91176470588235292,1
dPL,Base-CN,S4,34,prop_excess_gt_0,0.97058823529411764,0.91176470588235292,1
dPL,Base-CN,S5,55,within_a,0.10672202836160073,0.08488642106487429,0.12316428888007912
dPL,Base-CN,S5,55,within_b,0.11748313559233163,0.10575506999806934,0.14550869353794885
dPL,Base-CN,S5,55,within_pooled,0.11941344210402753,0.10694759882698728,0.14851395159568972
dPL,Base-CN,S5,55,between_all,0.30661356309640764,0.22294351198204582,0.3876813327895246
dPL,Base-CN,S5,55,excess,0.12519821335216616,0.078706129916543743,0.21888776082257799
dPL,Base-CN,S5,55,prop_between_gt_within,0.87272727272727268,0.78181818181818186,0.95499999999999963
dPL,Base-CN,S5,55,prop_excess_gt_0,0.87272727272727268,0.78181818181818186,0.94545454545454544
dPL,Base-TGD,Full531,531,within_a,0.099930944587224554,0.093000659660306434,0.10359119136134717
dPL,Base-TGD,Full531,531,within_b,0.12310379845996697,0.11486186668381447,0.12970827354393297
dPL,Base-TGD,Full531,531,within_pooled,0.11368148698636654,0.10991673164182336,0.11986232673800204
dPL,Base-TGD,Full531,531,between_all,0.15392231452181993,0.14452447417626757,0.16947851666526473
dPL,Base-TGD,Full531,531,excess,0.037647057033407302,0.032403865381908675,0.043980739448929135
dPL,Base-TGD,Full531,531,prop_between_gt_within,0.79284369114877584,0.75983992467043315,0.82485875706214684
dPL,Base-TGD,Full531,531,prop_excess_gt_0,0.79284369114877584,0.75795668549905837,0.82674199623352163
dPL,Base-TGD,ExcludeS5,476,within_a,0.097142027792597688,0.092072530981476844,0.1032517562878599
dPL,Base-TGD,ExcludeS5,476,within_b,0.1215725770979158,0.11310425424849122,0.12964374540950696
dPL,Base-TGD,ExcludeS5,476,within_pooled,0.11359380514287407,0.10983319025588663,0.11986146356685082
dPL,Base-TGD,ExcludeS5,476,between_all,0.14734666268264668,0.13948949510041336,0.15878298779354894
dPL,Base-TGD,ExcludeS5,476,excess,0.034591941608222869,0.029832081688652347,0.041650682627707047
dPL,Base-TGD,ExcludeS5,476,prop_between_gt_within,0.78361344537815125,0.74789915966386555,0.8214285714285714
dPL,Base-TGD,ExcludeS5,476,prop_excess_gt_0,0.78361344537815125,0.74789915966386555,0.82043067226890753
dPL,Base-TGD,S1,165,within_a,0.1035299100526173,0.093570207187079243,0.11335565124841479
dPL,Base-TGD,S1,165,within_b,0.1131729619566595,0.10518891971647282,0.12933468872411616
dPL,Base-TGD,S1,165,within_pooled,0.11987872698987515,0.10961796702800415,0.12738318303360802
dPL,Base-TGD,S1,165,between_all,0.13285259202141089,0.12585972159793671,0.1417005736664699
dPL,Base-TGD,S1,165,excess,0.019465304898366349,0.010917449240547092,0.026509271973498404
dPL,Base-TGD,S1,165,prop_between_gt_within,0.70909090909090911,0.63636363636363635,0.77575757575757576
dPL,Base-TGD,S1,165,prop_excess_gt_0,0.70909090909090911,0.63636363636363635,0.77575757575757576
dPL,Base-TGD,S2,156,within_a,0.091444678287659384,0.084300485394071423,0.10146053476174757
dPL,Base-TGD,S2,156,within_b,0.10619190065296222,0.099755851765165868,0.11609738855503542
dPL,Base-TGD,S2,156,within_pooled,0.1019937359414988,0.097226328308060397,0.10842408337845988
dPL,Base-TGD,S2,156,between_all,0.13035402434415977,0.11780823169059385,0.14579669065583503
dPL,Base-TGD,S2,156,excess,0.031015656906578155,0.023313052978021311,0.039026212927466962
dPL,Base-TGD,S2,156,prop_between_gt_within,0.75641025641025639,0.69230769230769229,0.82387820512820498
dPL,Base-TGD,S2,156,prop_excess_gt_0,0.75641025641025639,0.6858974358974359,0.82051282051282048
dPL,Base-TGD,S3,121,within_a,0.096638778729663866,0.088659366794267377,0.10541366731132795
dPL,Base-TGD,S3,121,within_b,0.14038616789949934,0.12665899211610718,0.15248877728836252
dPL,Base-TGD,S3,121,within_pooled,0.12161714147435015,0.10949599526851495,0.13302576833127214
dPL,Base-TGD,S3,121,between_all,0.24179946144855699,0.18558274996808613,0.28126941116222332
dPL,Base-TGD,S3,121,excess,0.079076497954838454,0.054661222411646115,0.13716823426638181
dPL,Base-TGD,S3,121,prop_between_gt_within,0.88429752066115708,0.83471074380165289,0.94214876033057848
dPL,Base-TGD,S3,121,prop_excess_gt_0,0.88429752066115708,0.82644628099173556,0.93388429752066116
dPL,Base-TGD,S4,34,within_a,0.12441879525611693,0.094827634940978761,0.16180794550096209
dPL,Base-TGD,S4,34,within_b,0.22437309354392779,0.1731545488274629,0.24085038547093598
dPL,Base-TGD,S4,34,within_pooled,0.18013649432690151,0.15569442096665576,0.19389848320916545
dPL,Base-TGD,S4,34,between_all,0.33959666957387247,0.27668321140441121,0.37358122142586997
dPL,Base-TGD,S4,34,excess,0.1069855545807224,0.066667973296617958,0.15994094357389288
dPL,Base-TGD,S4,34,prop_between_gt_within,0.91176470588235292,0.79411764705882348,1
dPL,Base-TGD,S4,34,prop_excess_gt_0,0.91176470588235292,0.82352941176470584,1
dPL,Base-TGD,S5,55,within_a,0.10672202836160073,0.08488642106487429,0.12316428888007912
dPL,Base-TGD,S5,55,within_b,0.14842137458312935,0.11765642338877476,0.16095538529815548
dPL,Base-TGD,S5,55,within_pooled,0.12052798965318037,0.10334779441803257,0.15340635349341103
dPL,Base-TGD,S5,55,between_all,0.27674690051529338,0.21052811049623482,0.32113647733421641
dPL,Base-TGD,S5,55,excess,0.085137481676987162,0.054566556622651419,0.1173105871745086
dPL,Base-TGD,S5,55,prop_between_gt_within,0.87272727272727268,0.78181818181818186,0.94545454545454544
dPL,Base-TGD,S5,55,prop_excess_gt_0,0.87272727272727268,0.78181818181818186,0.94545454545454544
dPL,TGD-CN,Full531,531,within_a,0.12310379845996697,0.1163541565489993,0.12986964829892844
dPL,TGD-CN,Full531,531,within_b,0.10072321300358306,0.096896242811632366,0.10629980661402841
dPL,TGD-CN,Full531,531,within_pooled,0.11870572762266637,0.11293173604263756,0.12517608080167003
dPL,TGD-CN,Full531,531,between_all,0.16289584382080305,0.15422369343783371,0.17410134881669645
dPL,TGD-CN,Full531,531,excess,0.045526604232513646,0.039817300638569211,0.0539348265124239
dPL,TGD-CN,Full531,531,prop_between_gt_within,0.84745762711864403,0.81732580037664782,0.87758945386064036
dPL,TGD-CN,Full531,531,prop_excess_gt_0,0.84745762711864403,0.81732580037664782,0.87481167608286248
dPL,TGD-CN,ExcludeS5,476,within_a,0.1215725770979158,0.11407268437974175,0.12919057910024137
dPL,TGD-CN,ExcludeS5,476,within_b,0.099068357659746281,0.094783836938530652,0.10529061872406897
dPL,TGD-CN,ExcludeS5,476,within_pooled,0.11620833706618289,0.11002458747067805,0.12193756937565131
dPL,TGD-CN,ExcludeS5,476,between_all,0.15917742756372638,0.15044929010117356,0.16852129297581084
dPL,TGD-CN,ExcludeS5,476,excess,0.043668849180655035,0.038761179700458025,0.050734565599149517
