metric,period,paradigm,effect,summary_level,snow_stratum,stratum_n,valid_basin_count,median,bootstrap_ci_low,bootstrap_ci_high,fraction_positive,model
amjj_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S2,155,155,0.004049191872278798,0.0026411195516172978,0.005073701615025801,,
amjj_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S3,118,118,0.006439144178253302,0.00025201331662959883,0.011139498154322303,,
amjj_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S4,32,32,0.010706148349197309,0.006701014580143102,0.0426503998914144,,
amjj_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S5,49,49,0.014182538273371497,0.008334863983414403,0.028028213514802794,,
amjj_error_abs,test,dPL-MLP,CN-Base,full_sample,full_sample,531,531,0.005008960006873904,0.003582786267938393,0.007019105393893499,,
amjj_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S1,165,165,0.0005759574071505999,-0.00016189105417449903,0.0012583787242572003,,
amjj_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S2,156,156,0.0035591100070628493,0.00248764393857275,0.005484186956382006,,
amjj_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S3,121,121,0.016522932600950398,0.010595912800110602,0.0247427527548736,,
amjj_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S4,34,34,0.09849197020929396,0.0629480338614877,0.1263388253244809,,
amjj_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S5,55,55,0.24926569683431157,0.19723774974543068,0.2870187011135134,,
kge,test,IC-dPL,A_IC_minus_dPL,full_sample,full_sample,531,531,0.026875277325822733,0.023177585950034607,0.030550082854821636,,XAJ-Base
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S1,165,165,0.051866934686467525,0.03787337070771113,0.06969353147592539,,XAJ-Base
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S2,156,156,0.02803550656763165,0.02117445454751049,0.033999214162716514,,XAJ-Base
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S3,121,121,0.017638980278143257,0.014485407188948307,0.02161254778130517,,XAJ-Base
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S4,34,34,0.020591002729926977,0.015878215483540077,0.0441600780873069,,XAJ-Base
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S5,55,55,0.015965199139692,0.011072526593955079,0.023585019349647997,,XAJ-Base
kge,test,IC-dPL,B_IC_minus_dPL,full_sample,full_sample,531,531,-0.003154667509442599,-0.0064420150209855,0.0018162590284076519,,XAJ-Base
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S1,165,165,2.5024866400769064e-06,-0.015419919067448884,0.009248689474585237,,XAJ-Base
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S2,156,156,9.108650605210711e-05,-0.008277840840250517,0.004898669873951764,,XAJ-Base
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S3,121,121,-0.009684584695250464,-0.016639833869300985,-0.004887432117499424,,XAJ-Base
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S4,34,34,0.009853980580743271,-0.0044014550633652005,0.026565840137421616,,XAJ-Base
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S5,55,55,0.005894862946723298,-0.003835332662615182,0.013475027229913394,,XAJ-Base
kge,test,IC-dPL,D_IC_minus_dPL,full_sample,full_sample,531,531,-0.02625027198255947,-0.030753798191880066,-0.020565050816865882,,XAJ-Base
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S1,165,165,-0.044772379610082624,-0.06869337633263506,-0.0318484793394207,,XAJ-Base
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S2,156,156,-0.027053192755415956,-0.039277587401305825,-0.013614669373788857,,XAJ-Base
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S3,121,121,-0.025433491157489607,-0.03263069419172704,-0.017451514628666787,,XAJ-Base
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S4,34,34,-0.012537718198548042,-0.033220234309379204,-0.0034406519959175874,,XAJ-Base
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S5,55,55,-0.011546551510746295,-0.018882133239633496,-0.005027440252223396,,XAJ-Base
kge,test,IC-dPL,A_IC_minus_dPL,full_sample,full_sample,515,515,0.04453069002234056,0.038767931247595144,0.049629550190120046,,XAJ-TGD
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S1,161,161,0.059893093283297505,0.047485422901824004,0.07846787574432268,,XAJ-TGD
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S2,155,155,0.047551746572063514,0.036383428837402754,0.05563265849167819,,XAJ-TGD
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S3,118,118,0.03808389353338437,0.03336897588102161,0.04565352812083456,,XAJ-TGD
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S4,32,32,0.026809048710283334,0.020481064363841575,0.09131839545770815,,XAJ-TGD
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S5,49,49,0.03591751796892684,0.023353216370303742,0.04453069002234056,,XAJ-TGD
kge,test,IC-dPL,B_IC_minus_dPL,full_sample,full_sample,515,515,0.0007025404243147237,-0.0034018798342927425,0.005769770288483707,,XAJ-TGD
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S1,161,161,-0.0039744059884836425,-0.019859301218001058,0.0054096915581922644,,XAJ-TGD
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S2,155,155,-0.0016755049324143068,-0.009931909863249322,0.012784775298057327,,XAJ-TGD
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S3,118,118,-0.0050051438625073885,-0.018857650304073548,0.00527574811281617,,XAJ-TGD
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S4,32,32,0.017385241169522614,0.003897033708097797,0.039132140662251846,,XAJ-TGD
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S5,49,49,0.011808120488275065,0.0051932820461726426,0.021545192568911742,,XAJ-TGD
kge,test,IC-dPL,D_IC_minus_dPL,full_sample,full_sample,515,515,-0.03846226913139006,-0.04970181056595119,-0.03314870689342497,,XAJ-TGD
