basin_id,paradigm,snow_stratum,frac_snow,excess_base_cn,excess_base_tgd,delta_excess,is_delta_excess_positive,is_base_cn_between_gt_within,is_base_tgd_between_gt_within
03364500,IC,S2,0.080417057581499404,-0.034811265387180698,-0.0176778743974596,-0.017133390989721099,False,False,False
03366500,IC,S2,0.059067129172147001,0.0068648547203804004,0.0091099310872127994,-0.002245076366832399,False,True,True
03368000,IC,S2,0.067085866366636299,-0.0095420057831596006,0.0228533462827843,-0.032395352065943898,False,False,True
03384450,IC,S1,0.049672530624243601,0.0109855997507467,-0.0069605484165252999,0.017946148167272,True,True,False
03439000,IC,S1,0.037466091820604903,0.0132725718787907,-0.0075087755429440999,0.020781347421734798,True,True,False
03455500,IC,S2,0.077431416620489704,0.00048074181718460001,-0.015030188200358299,0.015510930017542899,True,True,False
03456500,IC,S2,0.063873676649555802,0.0041796440283805997,0.0010537830053662001,0.0031258610230143996,True,True,True
03460000,IC,S2,0.077253343718732007,-0.0135083068481927,-0.0032281980187077999,-0.010280108829484901,False,False,False
03463300,IC,S2,0.0849163900758962,0.017319529210456701,0.018871258692886798,-0.0015517294824300976,False,True,True
03471500,IC,S2,0.083871169608870699,0.0083890119560343993,-0.012789106344594001,0.0211781183006284,True,True,False
03473000,IC,S2,0.083266733051582401,-0.010465252770514299,0.0085867169985787001,-0.019051969769093,False,False,True
03479000,IC,S2,0.090417123752087797,0.019465176903576201,0.0059207670560058002,0.0135444098475704,True,True,True
03488000,IC,S2,0.081549051514082205,0.0069135478458620002,0.011274344199112,-0.0043607963532499997,False,True,True
03498500,IC,S1,0.034370778926631401,0.0154619620640423,0.0082051829241352996,0.0072567791399070006,True,True,True
03500000,IC,S1,0.029248917912040501,-0.013545991188658599,-0.0013072285447452,-0.012238762643913399,False,False,False
03500240,IC,S1,0.029394718558517,0.0030749522120464001,0.00034380937327469998,0.0027311428387717003,True,True,True
03504000,IC,S2,0.058991229141726199,-0.0079318319545097007,-0.0068452665816493997,-0.0010865653728603011,False,False,False
03574500,IC,S1,0.0200681785915394,-0.015382625657857101,-0.012061823406095599,-0.0033208022517615017,False,False,False
03592718,IC,S1,0.014910912031414401,-0.0142947134723918,0.0425837389488729,-0.0568784524212647,False,False,True
03604000,IC,S1,0.025599076093284299,-0.024215806979143099,0.0031345305117046998,-0.027350337490847799,False,False,True
04015330,IC,S3,0.19607939008931791,0.0110790749463538,0.038548057042146797,-0.027468982095792994,False,True,True
04024430,IC,S3,0.16086675873940001,-0.0071112311662298996,-0.0047742511698235998,-0.0023369799964062998,False,False,False
04027000,IC,S3,0.2350000847309229,0.059965821259234997,0.080407115977527602,-0.020441294718292605,False,True,True
04040500,IC,S4,0.30960760043406688,0.011648335449896101,-0.0046875897822188997,0.016335925232115002,True,True,False
04043050,IC,S3,0.299401075000363,0.13109164453113731,0.13499023181580541,-0.0038985872846681036,False,True,True
04045500,IC,S4,0.30007981527701788,0.075738431791644301,0.0578261896453287,0.0179122421463156,True,True,True
04057510,IC,S3,0.25313469288636892,0.072152326109624201,0.080117830518808206,-0.0079655044091840044,False,True,True
04057800,IC,S4,0.33424673648474801,0.0249444478244461,0.023766327817013402,0.0011781200074326981,True,True,True
04059500,IC,S3,0.235319790957285,0.082992928446766701,0.067539730879863299,0.015453197566903401,True,True,True
04063700,IC,S3,0.21196610998486901,0.097155342415720602,0.1071469271762225,-0.0099915847605018954,False,True,True
04074950,IC,S3,0.20327298331476901,0.041672948684637397,0.0014620207755302,0.0402109279091072,True,True,True
