basin_id,paradigm,regime,contrast,D_rms,D_euclidean,frac_snow,snow_stratum
04197100,IC,IC,Base-CN,0.40964622549508528,1.5865530091791935,0.11186376081024101,S2
04197170,IC,IC,Base-CN,0.31199253776681385,1.2083419029118587,0.10758495614117,S2
04213000,IC,IC,Base-CN,0.48135211340692974,1.8642687188867828,0.16222733846553899,S3
04213075,IC,IC,Base-CN,0.051570006690003931,0.19972977707419029,0.16065507084862399,S3
04216418,IC,IC,Base-CN,0.36552262210549086,1.4156630280766331,0.22539387678926401,S3
04221000,IC,IC,Base-CN,0.45848708531381366,1.7757128458715794,0.20721475316622401,S3
04224775,IC,IC,Base-CN,0.43628392252315085,1.68972036615021,0.20465019058735701,S3
04233000,IC,IC,Base-CN,0.56923237356613587,2.2046275029437634,0.16953232937769699,S3
04256000,IC,IC,Base-CN,0.47848467313218757,1.853163170456462,0.27970358450698901,S3
04296000,IC,IC,Base-CN,0.3485135823516477,1.3497873003750185,0.27331782642230701,S3
05057200,IC,IC,Base-CN,0.45994428994005437,1.7813565751210263,0.141789208175196,S2
05120500,IC,IC,Base-CN,0.40138550965372671,1.5545593942978597,0.19176626992326001,S3
05291000,IC,IC,Base-CN,0.30192433149066711,1.1693479076781612,0.14887450091553101,S2
05362000,IC,IC,Base-CN,0.39893236823031247,1.545058418419085,0.174430982504896,S3
05393500,IC,IC,Base-CN,0.3218705969190257,1.2465994615012268,0.19616986570514999,S3
05399500,IC,IC,Base-CN,0.40382127785037053,1.5639930839586831,0.15695825592339699,S3
05408000,IC,IC,Base-CN,0.2423912064834611,0.93877710597756814,0.140156645371,S2
05413500,IC,IC,Base-CN,0.11880843213718428,0.46014307905632884,0.124159245932601,S2
05414000,IC,IC,Base-CN,0.31560676059899073,1.2223397277503623,0.12354229376961599,S2
05444000,IC,IC,Base-CN,0.27552756480261403,1.0671136699016091,0.113352332875094,S2
05454000,IC,IC,Base-CN,0.25450367836470156,0.98568850785501805,0.102381239516297,S2
05458000,IC,IC,Base-CN,0.19035901613777156,0.73725729930201811,0.122540965691067,S2
05466500,IC,IC,Base-CN,0.32910115716268673,1.2746033009086755,0.107102802145215,S2
